IlmnID	estimate	CHR	MAPINFO	gene	feat.cgi	SNP_DISTANCE	name	description	distance
cg00527413	0.905729138182702	2	25151377		IGR-opensea	1;23;43	ADCY3	upstream	9321
cg02632511	-0.155999508618992	14	22408702		IGR-opensea	1;43	OR4E2	downstream	275404
cg03608224	-0.0907697911070226	12	124773995	FAM101A	5'UTR-opensea	0;38	RFLNA	inside intron	284
cg04233054	0.516553078645118	1	23112654	EPHB2	Body-shore	39	EPHB2	inside intron	75321
cg04971534	-0.0925289665726877	17	27333432	SEZ6	TSS1500-shore	27	SEZ6	inside exon	26
cg07168214	-0.257495301591324	17	7380112	ZBTB4	5'UTR-shelf	8;35	ZBTB4	inside intron	7456
cg08103568	-1.41070902825759	4	100737138	DAPP1	TSS1500-opensea	1	DAPP1	promoter	843
cg08621277	0.00523333367235252	11	68271518	SAPS3	5'UTR-opensea	34;21	PPP6R3	inside intron	43331
cg11581079	-0.726233477584723	17	7383764	ZBTB4	TSS1500-shore	3	ZBTB4	inside intron	3804
cg12060249	-0.0537933500298249	17	1493665	SLC43A2	Body-shore	41;2	SLC43A2	inside intron	38465
cg17030163	-0.240798966774035	5	17344317		IGR-opensea	26	LINC02111	downstream	43102
cg20378055	-0.409336782389964	10	86184730	CCSER2	TSS1500-opensea	39;19;11;1	CCSER2	inside exon	34
cg20385913	0.466141678474206	15	75054510		IGR-opensea		CYP1A2	downstream	13325
cg21362410	1.22487518299381	11	63650618	MARK2	Body-opensea	41;31;19;1	MARK2	inside intron	44217
cg23377690	-0.865222999768091	20	35013080	DLGAP4	5'UTR-opensea	0;2;20;49	DLGAP4	inside intron	17631
cg24034752	-0.0875601763391363	20	36023689	SRC	Body-opensea	51;45;44;27;8	SRC	inside intron	49131
cg24372191	0.343169177530239	15	48116584	LINC01491	Body-opensea	26	SEMA6D	downstream	105897
cg27402634	-1.47452411996789	3	156536860		IGR-shore	12;50	LINC00886	promoter	2008
